#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-126.71491,200,113.139681
-141.253489,200,113.346632
-128.187685,200,113.546662
-141.446613,200,114.220829
-194.821758,200,114.462403
-111.779823,200,114.664461
-136.118635,200,114.87165
-83.046916,200,115.074701
-158.820029,200,115.722325
-106.491915,200,115.917889
-183.131117,200,116.12493
-137.359653,200,116.350465
-116.649066,200,116.605079
-121.47748,200,116.815607
-129.430045,200,117.481503
-180.237278,200,117.680449
-140.092064,200,117.884081
-129.201386,200,118.096132
-169.735842,200,118.294158
-146.047537,200,118.978171
-159.055888,200,119.184711
-129.378428,200,119.389312
-155.561014,200,119.593235
-117.29937,200,119.790281
-160.756436,200,120.455454
-110.482586,200,120.694497
-125.191002,200,120.903532
-136.142761,200,121.1081
-193.187136,200,121.310147
-133.66189,200,121.947284
-146.1634,200,122.75611
-141.999443,200,122.973157
-86.224472,200,123.22172
-124.540228,200,123.429208
-127.07574,200,124.076713
-115.818263,200,124.267948
-169.184408,200,124.466241
-142.616334,200,124.663511
-110.376129,200,124.858747
-176.484182,200,125.538694
-156.704789,200,125.741266
-119.726287,200,125.939353
-148.765435,200,126.148947
-173.482666,200,126.360019
-129.909029,200,127.035566
-147.815263,200,127.286234
-108.559191,200,127.48227
-125.77331,200,127.685976
-120.571294,200,127.887912
-133.39329,200,128.557446
-141.582801,200,128.76049
-179.752116,200,128.969227
-146.011633,200,129.201451
-145.061649,200,129.455504
-115.409358,200,130.111309
-129.517965,200,130.316528
-121.421652,200,130.526701
-143.739936,200,130.732696
-122.166728,200,130.938734
-124.564598,200,131.133785
-107.449906,200,131.823945
-134.141207,200,132.028991
-163.782362,200,132.230041
-162.698692,200,132.429601
-126.380257,200,132.629656
-101.885892,200,133.314286
-130.805713,200,133.537338
-173.783037,200,133.75339
-156.559147,200,133.953433
-137.544606,200,134.146203
-111.544257,200,134.847326
-140.187305,200,135.051342
-134.788466,200,135.256763
-155.372526,200,135.498832
-102.026427,200,135.724878
-164.487717,200,136.459531
-174.627794,200,136.654156
-127.626285,200,136.857208
-117.844744,200,137.058775
-127.444599,200,137.252394
-165.660167,200,137.979133
-126.065485,200,138.199382
-128.989692,200,138.399417
-158.198527,200,138.598855
-113.552106,200,138.794891
-163.96064,200,139.455057
-158.863009,200,139.655919
-108.594266,200,139.853453
-129.967981,200,140.105979
-143.469391,200,140.327472
-195.419308,200,140.96454
-168.965397,200,141.161069
-108.575932,200,141.360108
-141.842401,200,141.559678
-128.607111,200,141.762719
-122.583977,200,142.475101
-230.479576,200,142.727517
-151.028147,200,142.963101
-101.645635,200,143.165017
-104.297828,200,143.362045
-126.304794,200,143.550613
-107.178322,200,144.202792
-125.333203,200,144.421154
-109.990672,200,144.619603
-117.990595,200,144.865168
-224.259714,200,145.090214
-105.897191,200,145.79178
-154.039815,200,145.987068
-109.999616,200,146.185092
-105.58422,200,146.404193
-110.73915,200,146.605124
-140.539592,200,147.282597
-139.666091,200,147.54047
-118.350564,200,147.768545
-114.548658,200,147.973578
-132.616692,200,148.179819
-145.944133,200,148.824425
-177.856494,200,149.02501
-153.078695,200,149.224046
-129.76486,200,149.42402
-137.424348,200,149.674571
-123.666628,200,150.374632
-127.955123,200,150.56868
-161.903009,200,150.763294
-126.724318,200,150.959337
-105.236987,200,151.15434
-142.086741,200,151.800364
-145.023225,200,152.030405
-133.289387,200,152.268592
-124.001516,200,152.470657
-128.874072,200,153.200077
-148.085095,200,153.840891
-129.953868,200,154.035971
-159.48123,200,154.281654
-163.972724,200,154.515432
-124.88118,200,154.720669
-152.707497,200,155.382755
-173.315425,200,155.577778
-132.252451,200,155.778275
-166.966829,200,155.987968
-149.725645,200,156.191269
-94.844319,200,156.402294
-126.813819,200,157.117151
-122.001516,200,157.316377
-145.293161,200,157.514418
-161.108785,200,157.714074
-135.222467,200,157.906637
-90.384968,200,158.561169
-157.163392,200,158.789875
-137.157435,200,159.005443
-127.712859,200,159.206478
-135.980797,200,159.40152
-136.863611,200,160.051676
-156.799207,200,160.252718
-148.150349,200,160.454759
-138.741712,200,160.663814
-162.638791,200,160.903359
-127.546832,200,161.625855
-91.886137,200,161.834402
-134.053482,200,162.03394
-118.024446,200,162.233526
-156.472163,200,162.434
-131.045286,200,163.122753
-259.257179,200,163.378333
-137.31752,200,163.592804
-126.643971,200,163.790963
-142.570044,200,163.988008
-145.677186,200,164.639651
-158.043228,200,164.840745
-151.482145,200,165.037304
-138.655299,200,165.247284
-135.863682,200,165.495342
-128.406769,200,166.223076
-109.510612,200,166.428471
-126.135771,200,166.623507
-123.29161,200,166.823551
-113.546419,200,167.025462
-116.131512,200,167.702389
-159.453515,200,167.950427
-138.248898,200,168.172669
-140.015909,200,168.378227
-100.288948,200,168.570763
-108.605439,200,169.272423
-152.410387,200,169.471471
-144.01952,200,169.673301
-116.054981,200,169.881543
-137.374771,200,170.127595
-143.9661,200,170.340147
-167.007834,200,171.056317
-214.729147,200,171.254885
-145.874945,200,171.454473
-134.437,200,171.652082
-174.667349,200,171.849446
-121.577775,200,172.527783
-114.386841,200,172.752819
-122.678307,200,172.954394
-100.262208,200,173.164589
-130.478732,200,173.359228
-92.223207,200,174.019607
-139.080163,200,174.220802
-173.987384,200,174.434938
-146.903459,200,174.688437
-94.393909,200,174.921105
-104.031995,200,175.599482
-194.323702,200,175.809627
-141.421478,200,175.997585
-111.878184,200,176.193627
-120.14559,200,176.391353
-131.674966,200,177.047506
-145.001506,200,177.252216
-117.559841,200,177.458861
-234.418912,200,177.702432
-116.301324,200,177.930402
-152.483003,200,178.586421
-135.015257,200,178.790477
-92.645067,200,179.002515
-135.313413,200,179.200542
-131.312054,200,179.400106
-134.32745,200,180.084252
-140.598823,200,180.2893
-117.071769,200,180.490998
-114.970093,200,180.697046
-182.075463,200,180.90601
-164.588991,200,181.557385
-132.96191,200,181.778971
-103.072106,200,182.024531
-109.042088,200,182.229575
-111.766247,200,182.434124
-118.029563,200,182.621797
-171.874732,200,183.301051
-129.221527,200,184.125859
-121.555275,200,184.347887
-127.064261,200,184.590952
-84.537661,200,184.836978
-211.221256,200,185.483588
-129.95694,200,185.686671
-120.513418,200,185.895696
-169.376789,200,186.10523
-119.647402,200,186.310591
-163.017515,200,187.016754
-179.0319,200,187.218795
-163.641826,200,187.417824
-114.019391,200,187.615384
-123.586546,200,187.809439
-142.066741,200,188.468485
-100.75,200,188.678576
-115.839543,200,188.91292
