#{"t_start": 1748318511.7280183, "env_id": "None"}
r,l,t
-0.008265,20,38.066181
-0.009149,20,38.096727
-0.010872,20,38.123745
-0.010312,20,38.149011
-0.006896,20,38.174711
-0.011372,20,38.198832
-0.007894,20,38.224978
-0.008458,20,38.249511
-0.007024,20,38.273579
-0.006017,20,38.298651
-0.006525,20,38.324785
-0.006726,20,38.349259
-0.007332,20,38.37381
-0.007519,20,38.398368
-0.009545,20,38.424418
-0.00892,20,38.448462
-0.007728,20,38.473511
-0.008364,20,38.497558
-0.006298,20,38.52259
-0.007362,20,38.548655
-0.010916,20,38.572732
-0.011827,20,38.597095
-0.005395,20,38.621782
-0.012424,20,38.647706
-0.011538,20,38.672251
-0.011217,20,38.697799
-0.013179,20,38.72083
-0.009882,20,38.747887
-0.009982,20,38.771935
-0.011133,20,38.796495
-0.005997,20,38.820607
-0.006714,20,38.847721
-0.010278,20,38.872757
-0.00988,20,38.897365
-0.009822,20,38.920923
