#{"t_start": 1748271233.596284, "env_id": "None"}
r,l,t
-19.672481,20,14.689418
-19.358298,20,14.721988
-20.849606,20,14.759279
-19.069007,20,14.849665
-19.120575,20,14.885903
-20.684903,20,14.917983
-21.217661,20,14.950573
-19.642568,20,14.986686
-19.423319,20,15.083982
-20.539242,20,15.117563
-20.683942,20,15.211241
-19.690084,20,15.242344
-21.424707,20,15.275532
-19.68254,20,15.311167
-19.525906,20,15.342486
-19.792079,20,15.375784
-20.777853,20,15.472178
-21.270016,20,15.509452
-19.904811,20,15.549552
-20.484938,20,15.586663
-20.128389,20,15.622757
-19.540041,20,15.657643
-20.982007,20,15.754551
-20.558705,20,15.788162
-19.697421,20,15.822752
-20.431034,20,15.859332
-19.907303,20,15.892447
-19.712166,20,15.92601
-20.137506,20,15.960101
-21.386791,20,16.053478
-20.959229,20,16.085734
-21.612796,20,16.115929
-19.130095,20,16.150737
-20.87962,20,16.190369
-20.249981,20,16.220931
-20.489497,20,16.313705
-20.772509,20,16.346279
-20.583868,20,16.380959
-20.715291,20,16.411538
-20.208895,20,16.442319
-20.224504,20,16.477927
-20.21174,20,16.509526
-20.230029,20,16.603753
-20.625308,20,16.633995
-21.506113,20,16.669705
-20.735452,20,16.705391
-20.301088,20,16.740501
-19.979071,20,16.774655
-20.065943,20,16.86353
-20.778047,20,16.899123
-20.534947,20,16.930691
-21.100379,20,16.960774
-20.507979,20,16.993445
-19.471671,20,17.027529
-20.229841,20,17.119996
-20.20245,20,17.163091
-21.120751,20,17.202715
-20.919273,20,17.236052
-19.484231,20,17.327775
-21.092922,20,17.364353
-19.776027,20,17.394461
-20.133015,20,17.486018
-21.117741,20,17.517596
-20.472737,20,17.552453
-20.544447,20,17.584589
-19.66484,20,17.615567
-20.223722,20,17.659192
-20.087435,20,17.761041
-20.512972,20,17.797431
-20.286511,20,17.827466
-20.318585,20,17.859878
-20.107592,20,17.895537
-21.405558,20,17.926669
-20.59061,20,17.959237
-19.858959,20,18.050671
-20.371294,20,18.089164
-21.014005,20,18.125744
-20.590482,20,18.156881
-20.823792,20,18.191533
-19.493675,20,18.2246
-21.482758,20,18.320607
-20.444067,20,18.351737
-21.739531,20,18.384841
-21.411862,20,18.427626
-20.101133,20,18.45849
-20.290165,20,18.491582
-20.519272,20,18.584611
-20.432338,20,18.620886
-20.645012,20,18.655428
-20.983612,20,18.687984
-19.145841,20,18.720531
-20.4941,20,18.756065
-20.096565,20,18.788109
-20.855031,20,18.87671
-20.128916,20,18.911265
-20.776709,20,18.944803
-20.874617,20,18.984851
-20.103153,20,19.020895
-20.616857,20,19.056429
-20.77067,20,19.152552
-20.64262,20,19.189114
-21.43797,20,19.221657
-18.980271,20,19.256197
-19.504003,20,19.291762
-20.891148,20,19.323804
-20.339256,20,19.35634
-20.699794,20,19.456652
-20.381983,20,19.492208
-20.611898,20,19.587587
-20.56172,20,19.622129
-20.767845,20,19.655671
-19.862854,20,19.692224
-20.267028,20,19.783157
-20.913453,20,19.817694
-20.10832,20,19.849746
-20.326988,20,19.882778
-19.421015,20,19.91883
-20.821761,20,19.950074
-20.682964,20,20.039645
-20.557139,20,20.074757
-20.402957,20,20.109937
-19.998069,20,20.146576
-20.013281,20,20.179845
-21.194024,20,20.211946
-19.203076,20,20.247512
-20.032759,20,20.339019
-20.242861,20,20.369566
-19.813117,20,20.403819
-20.317833,20,20.441482
-19.980312,20,20.47159
-20.180536,20,20.502751
-20.199204,20,20.598891
-21.306119,20,20.632557
-20.279809,20,20.67471
-20.608692,20,20.706809
-20.101836,20,20.73887
-19.745382,20,20.773514
-20.190923,20,20.806854
-20.855327,20,20.917579
-20.418011,20,20.950671
-19.943451,20,20.985801
-19.87621,20,21.017424
-20.818993,20,21.050011
-20.001984,20,21.08464
-20.161197,20,21.173617
-20.903149,20,21.208798
-20.049565,20,21.246337
-20.801053,20,21.283899
-20.513789,20,21.320957
-19.686045,20,21.352506
-20.717337,20,21.446747
-19.974682,20,21.479795
-20.423002,20,21.51449
-21.143941,20,21.546628
-20.17372,20,21.585844
-20.353503,20,21.619603
-20.002442,20,21.652683
-20.713918,20,21.744924
-20.270871,20,21.839857
-19.677776,20,21.872927
-20.548902,20,21.904864
-20.889792,20,21.940925
-19.862887,20,21.972551
